"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Jun 27 18:30:13 IST 2020","Sat Jun 27 18:30:18 IST 2020","5021","PyTest","test_sample","","","","test_invalidlogin","Validates the login deatail"
"passed","Sat Jun 27 18:29:56 IST 2020","Sat Jun 27 18:30:04 IST 2020","8006","PyTest","test_sample","","","","test_validlogin","Validates the login deatail"
